"","Бренд","Вид","Гарантия","Звуковой сигнал при закипании","Индикация включения","Кнопка открывания крышки","Корзина для заварки чая","Максимальная потребляемая мощность (Вт)","Максимальный объем (л)","Масса (кг)","Материал корпуса","Нагревательный элемент","Подсветка корпуса","Состав набора","Страна производства","Тип управления","Уникальное описание","Фильтр","Цвет","Цена, (р)"
"Bosch TWK7805","Bosch",NA,NA,NA,"есть","есть",NA,"2200","1,7",NA,NA,"скрытый",NA,NA,NA,NA,"Новая модель",NA,NA,"3130"
"Supra KES-1708","Supra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"950"
"Bosch TTA2009","Bosch",NA,NA,"нет","есть",NA,"есть","1785","2",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","бежевый","3860"
"Bosch TWK1102","Bosch",NA,NA,"нет","есть",NA,"нет","2000","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","960"
"Bosch TWK7601","Bosch",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1470"
"Bosch TWK7001","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1180"
"Bosch TWK7003","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","оранжевый","1180"
"Bosch TWK7006","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","зеленый","1180"
"Bosch TWK7007","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","фиолетовый","1180"
"Bosch TWK86103","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","черный","5990"
"Bosch TWK8611","Bosch",NA,NA,"есть","есть",NA,"нет","2400","1,5",NA,"металл/пластик","скрытый","нет",NA,NA,"электронный",NA,"есть","белый","5990"
"Braun WK300 Красный","Braun",NA,NA,"нет","есть",NA,"нет","2200","1,6",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","красный","2990"
"Braun WK300 Черный","Braun",NA,NA,"нет","есть",NA,"нет","2200","1,6",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","черный","2990"
"Braun WK500 черный","Braun",NA,NA,"нет","есть",NA,"нет","3000","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","черный","1950"
"Braun WK600","Braun",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","3990"
"DeLonghi KBO2001.BK","DeLonghi",NA,NA,"нет","есть",NA,"нет","2000","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","черный","9990"
"DeLonghi KBO2001.R","DeLonghi",NA,NA,"нет","есть",NA,"нет","2000","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","красный","9990"
"DeLonghi KBO2001.W","DeLonghi",NA,NA,"нет","есть",NA,"нет","2000","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","9990"
"Gorenje K10W","Gorenje",NA,NA,"нет","есть",NA,"нет","1300","1",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1890"
"Kenwood JKP220","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1,6",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1250"
"Kenwood JKP230","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1,6",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1540"
